intern_id,course,rating
INT_1010,Data Wrangling & Pandas,7.4
INT_1010,APIs & Microservices,7.4
INT_1011,Python Fundamentals,8.5
INT_1011,Data Visualization,5.8
INT_1011,System Design,8.5
INT_1011,Git & Version Control,8.5
INT_1012,Python Fundamentals,6.4
INT_1012,SQL & Databases,8.5
INT_1012,Data Visualization,6.4
INT_1012,Docker & Kubernetes,6.4
INT_1012,Frontend Basics (React),6.4
INT_1012,Data Wrangling & Pandas,8.5
INT_1012,Git & Version Control,6.4
INT_1012,APIs & Microservices,8.5
INT_1012,Business Intelligence & BI Tools,6.4
INT_1013,SQL & Databases,8.5
INT_1013,Cloud Computing (AWS),5.4
INT_1013,Cybersecurity Essentials,8.5
INT_1013,Git & Version Control,5.4
INT_1013,APIs & Microservices,8.5
INT_1014,Python Fundamentals,8.5
INT_1014,Cloud Computing (AWS),7.7
INT_1014,Docker & Kubernetes,7.7
INT_1014,System Design,8.5
INT_1014,APIs & Microservices,8.5
INT_1015,Python Fundamentals,8.5
INT_1015,SQL & Databases,8.5
INT_1015,MLOps Pipelines,7.1
INT_1015,Data Wrangling & Pandas,8.5
INT_1015,Git & Version Control,7.1
INT_1015,APIs & Microservices,7.1
INT_1016,Python Fundamentals,8.5
INT_1016,Data Visualization,6.5
INT_1016,System Design,8.5
INT_1016,Git & Version Control,8.5
INT_1017,Python Fundamentals,8.5
INT_1017,SQL & Databases,8.5
INT_1017,Data Visualization,6.4
INT_1017,Cloud Computing (AWS),6.4
INT_1017,Docker & Kubernetes,6.4
INT_1017,Cybersecurity Essentials,6.4
INT_1017,System Design,6.4
INT_1017,Data Wrangling & Pandas,6.4
INT_1017,Git & Version Control,6.4
INT_1017,APIs & Microservices,8.5
INT_1018,SQL & Databases,7.1
INT_1018,Data Visualization,8.5
INT_1018,Statistics & Probability,8.5
INT_1018,A/B Testing & Experimentation,8.5
INT_1018,Git & Version Control,7.1
INT_1018,Business Intelligence & BI Tools,7.1
INT_1019,Cloud Computing (AWS),8.5
INT_1019,Docker & Kubernetes,8.5
INT_1019,Cybersecurity Essentials,8.5
INT_1019,System Design,6.7
INT_1019,Data Wrangling & Pandas,6.7
INT_1020,Python Fundamentals,6.9
INT_1020,Machine Learning Basics,6.9
INT_1020,Data Visualization,6.9
INT_1020,Cybersecurity Essentials,8.5
INT_1020,System Design,8.5
INT_1020,Frontend Basics (React),6.9
INT_1020,Data Wrangling & Pandas,8.5
INT_1020,Git & Version Control,6.9
INT_1020,APIs & Microservices,6.9
INT_1020,Reinforcement Learning,6.9
INT_1020,Business Intelligence & BI Tools,6.9
INT_1021,Cloud Computing (AWS),5.5
INT_1021,Frontend Basics (React),8.5
INT_1021,Data Wrangling & Pandas,8.5
INT_1021,APIs & Microservices,8.5
INT_1022,Python Fundamentals,8.5
INT_1022,Data Wrangling & Pandas,8.5
INT_1022,APIs & Microservices,8.5
INT_1023,Python Fundamentals,5.2
INT_1023,Machine Learning Basics,8.5
INT_1023,Data Visualization,5.2
INT_1023,Cybersecurity Essentials,5.2
INT_1023,Frontend Basics (React),5.2
INT_1023,NLP & Text Analytics,5.2
INT_1023,MLOps Pipelines,5.2
INT_1023,A/B Testing & Experimentation,8.5
INT_1023,Git & Version Control,5.2
INT_1023,APIs & Microservices,5.2
INT_1023,Reinforcement Learning,8.5
INT_1024,SQL & Databases,8.5
INT_1024,Data Visualization,6.3
INT_1024,Statistics & Probability,8.5
INT_1024,A/B Testing & Experimentation,8.5
INT_1024,Business Intelligence & BI Tools,6.3
INT_1025,Python Fundamentals,8.5
INT_1025,Machine Learning Basics,5.1
INT_1025,Data Visualization,5.1
INT_1025,Cloud Computing (AWS),5.1
INT_1025,Docker & Kubernetes,5.1
INT_1025,System Design,8.5
INT_1025,Frontend Basics (React),5.1
INT_1025,Statistics & Probability,5.1
INT_1025,Git & Version Control,5.1
INT_1025,APIs & Microservices,5.1
INT_1025,Business Intelligence & BI Tools,8.5
INT_1026,Machine Learning Basics,8.5
INT_1026,Deep Learning,8.5
INT_1026,Data Visualization,8.5
INT_1027,Python Fundamentals,6.3
INT_1027,SQL & Databases,8.5
INT_1027,Machine Learning Basics,6.3
INT_1027,Deep Learning,6.3
INT_1027,Data Visualization,6.3
INT_1027,Statistics & Probability,6.3
INT_1027,NLP & Text Analytics,6.3
INT_1027,Data Wrangling & Pandas,8.5
INT_1027,Business Intelligence & BI Tools,8.5
INT_1028,Python Fundamentals,6.9
INT_1028,SQL & Databases,8.5
INT_1028,Deep Learning,6.9
INT_1028,Data Visualization,6.9
INT_1028,Cloud Computing (AWS),6.9
INT_1028,Docker & Kubernetes,6.9
INT_1028,System Design,6.9
INT_1028,Frontend Basics (React),6.9
INT_1028,Data Wrangling & Pandas,8.5
INT_1028,Git & Version Control,8.5
INT_1028,APIs & Microservices,6.9
INT_1029,Python Fundamentals,8.5
INT_1029,System Design,8.5
INT_1029,Git & Version Control,8.5
INT_1030,Python Fundamentals,8.5
INT_1030,Cloud Computing (AWS),6.0
INT_1030,Docker & Kubernetes,8.5
INT_1030,Cybersecurity Essentials,8.5
INT_1030,MLOps Pipelines,6.0
INT_1030,Git & Version Control,6.0
INT_1031,SQL & Databases,8.5
INT_1031,Data Visualization,6.0
INT_1031,Docker & Kubernetes,6.0
INT_1031,MLOps Pipelines,8.5
INT_1031,Data Wrangling & Pandas,6.0
INT_1031,Time Series Analysis,6.0
INT_1031,Business Intelligence & BI Tools,8.5
INT_1032,Python Fundamentals,8.5
INT_1032,SQL & Databases,7.0
INT_1032,Machine Learning Basics,7.0
INT_1032,Cloud Computing (AWS),7.0
INT_1032,Docker & Kubernetes,8.5
INT_1032,System Design,7.0
INT_1032,Frontend Basics (React),7.0
INT_1032,Data Wrangling & Pandas,7.0
INT_1032,Git & Version Control,8.5
INT_1032,APIs & Microservices,7.0
INT_1033,Python Fundamentals,6.4
INT_1033,SQL & Databases,8.5
INT_1033,Docker & Kubernetes,6.4
INT_1033,System Design,6.4
INT_1033,Data Wrangling & Pandas,6.4
INT_1033,Git & Version Control,8.5
INT_1033,APIs & Microservices,8.5
INT_1034,Python Fundamentals,8.5
INT_1034,SQL & Databases,7.4
INT_1034,Data Visualization,8.5
INT_1034,Cloud Computing (AWS),8.5
INT_1034,Docker & Kubernetes,7.4
INT_1034,Cybersecurity Essentials,7.4
INT_1034,System Design,7.4
INT_1034,Data Wrangling & Pandas,7.4
INT_1034,Git & Version Control,7.4
INT_1034,APIs & Microservices,7.4
INT_1035,Cloud Computing (AWS),8.5
INT_1035,Docker & Kubernetes,4.6
INT_1035,System Design,8.5
INT_1035,Statistics & Probability,4.6
INT_1035,A/B Testing & Experimentation,8.5
INT_1036,Python Fundamentals,8.5
INT_1036,System Design,8.5
INT_1036,Data Wrangling & Pandas,5.3
INT_1036,APIs & Microservices,8.5
INT_1037,SQL & Databases,8.5
INT_1037,Cloud Computing (AWS),7.4
INT_1037,Time Series Analysis,8.5
INT_1037,Business Intelligence & BI Tools,8.5
INT_1038,Python Fundamentals,8.5
INT_1038,Data Visualization,8.5
INT_1038,Git & Version Control,8.5
INT_1039,Python Fundamentals,8.5
INT_1039,SQL & Databases,7.4
INT_1039,Docker & Kubernetes,7.4
INT_1039,System Design,8.5
INT_1039,Git & Version Control,8.5
INT_1039,APIs & Microservices,7.4
INT_1040,SQL & Databases,8.0
INT_1040,Cloud Computing (AWS),8.5
INT_1040,Docker & Kubernetes,8.5
INT_1040,MLOps Pipelines,8.5
INT_1040,Git & Version Control,8.0
INT_1040,Business Intelligence & BI Tools,8.0
INT_1041,Python Fundamentals,7.7
INT_1041,SQL & Databases,7.7
INT_1041,System Design,8.5
INT_1041,Statistics & Probability,7.7
INT_1041,Data Wrangling & Pandas,8.5
INT_1041,Git & Version Control,8.5
INT_1041,APIs & Microservices,7.7
INT_1042,Python Fundamentals,8.5
INT_1042,SQL & Databases,5.9
INT_1042,Git & Version Control,8.5
INT_1042,APIs & Microservices,8.5
INT_1043,Python Fundamentals,7.1
INT_1043,SQL & Databases,8.5
INT_1043,System Design,7.1
INT_1043,MLOps Pipelines,8.5
INT_1043,APIs & Microservices,8.5
INT_1044,Python Fundamentals,8.5
INT_1044,Git & Version Control,8.5
INT_1044,APIs & Microservices,8.5
INT_1045,Python Fundamentals,7.2
INT_1045,SQL & Databases,8.5
INT_1045,Deep Learning,7.2
INT_1045,Cloud Computing (AWS),7.2
INT_1045,Docker & Kubernetes,8.5
INT_1045,Cybersecurity Essentials,8.5
INT_1045,System Design,7.2
INT_1045,Frontend Basics (React),7.2
INT_1045,MLOps Pipelines,7.2
INT_1045,Git & Version Control,7.2
INT_1045,APIs & Microservices,7.2
INT_1046,SQL & Databases,8.5
INT_1046,Cloud Computing (AWS),8.5
INT_1046,Docker & Kubernetes,7.5
INT_1046,Statistics & Probability,7.5
INT_1046,Data Wrangling & Pandas,8.5
INT_1046,Git & Version Control,7.5
INT_1047,SQL & Databases,7.5
INT_1047,Data Visualization,7.5
INT_1047,Statistics & Probability,8.5
INT_1047,A/B Testing & Experimentation,7.5
INT_1047,Time Series Analysis,8.5
INT_1047,Business Intelligence & BI Tools,8.5
INT_1048,SQL & Databases,7.2
INT_1048,System Design,8.5
INT_1048,MLOps Pipelines,8.5
INT_1048,APIs & Microservices,8.5
INT_1049,Data Wrangling & Pandas,8.5
INT_1049,Git & Version Control,8.5
INT_1049,APIs & Microservices,8.5
INT_1050,SQL & Databases,4.8
INT_1050,Machine Learning Basics,4.8
INT_1050,Deep Learning,4.8
INT_1050,Data Visualization,8.5
INT_1050,Docker & Kubernetes,4.8
INT_1050,Statistics & Probability,4.8
INT_1050,NLP & Text Analytics,4.8
INT_1050,A/B Testing & Experimentation,8.5
INT_1050,Git & Version Control,4.8
INT_1050,Time Series Analysis,4.8
INT_1050,Business Intelligence & BI Tools,8.5
INT_1051,Python Fundamentals,5.8
INT_1051,SQL & Databases,5.8
INT_1051,Cloud Computing (AWS),5.8
INT_1051,Docker & Kubernetes,5.8
INT_1051,Cybersecurity Essentials,5.8
INT_1051,System Design,8.5
INT_1051,MLOps Pipelines,8.5
INT_1051,A/B Testing & Experimentation,5.8
INT_1051,Git & Version Control,8.5
INT_1051,APIs & Microservices,5.8
INT_1052,Machine Learning Basics,8.5
INT_1052,Deep Learning,8.5
INT_1052,Data Visualization,6.0
INT_1052,A/B Testing & Experimentation,6.0
INT_1052,Data Wrangling & Pandas,8.5
INT_1053,Python Fundamentals,7.9
INT_1053,SQL & Databases,8.5
INT_1053,Cloud Computing (AWS),8.5
INT_1053,Docker & Kubernetes,7.9
INT_1053,Cybersecurity Essentials,8.5
INT_1053,Git & Version Control,7.9
INT_1054,Python Fundamentals,8.5
INT_1054,Data Visualization,5.5
INT_1054,Cybersecurity Essentials,5.5
INT_1054,Frontend Basics (React),8.5
INT_1054,Data Wrangling & Pandas,5.5
INT_1054,APIs & Microservices,8.5
INT_1054,Reinforcement Learning,5.5
INT_1055,SQL & Databases,6.0
INT_1055,Machine Learning Basics,8.5
INT_1055,Deep Learning,6.0
INT_1055,Data Visualization,8.5
INT_1055,System Design,6.0
INT_1055,Statistics & Probability,6.0
INT_1055,MLOps Pipelines,8.5
INT_1055,A/B Testing & Experimentation,6.0
INT_1055,Reinforcement Learning,6.0
INT_1055,Business Intelligence & BI Tools,6.0
INT_1056,Python Fundamentals,6.3
INT_1056,Cloud Computing (AWS),6.3
INT_1056,Statistics & Probability,8.5
INT_1056,MLOps Pipelines,6.3
INT_1056,A/B Testing & Experimentation,8.5
INT_1056,Data Wrangling & Pandas,6.3
INT_1056,Git & Version Control,6.3
INT_1056,Reinforcement Learning,8.5
INT_1057,Deep Learning,7.4
INT_1057,Data Visualization,7.4
INT_1057,System Design,8.5
INT_1057,MLOps Pipelines,7.4
INT_1057,Data Wrangling & Pandas,7.4
INT_1057,Git & Version Control,8.5
INT_1057,APIs & Microservices,7.4
INT_1057,Time Series Analysis,8.5
INT_1058,Python Fundamentals,7.6
INT_1058,SQL & Databases,7.6
INT_1058,Data Visualization,8.5
INT_1058,Git & Version Control,8.5
INT_1058,APIs & Microservices,8.5
INT_1059,Machine Learning Basics,5.8
INT_1059,Cloud Computing (AWS),8.5
INT_1059,Docker & Kubernetes,5.8
INT_1059,System Design,8.5
INT_1059,Git & Version Control,8.5
INT_1060,SQL & Databases,8.5
INT_1060,Data Visualization,8.5
INT_1060,System Design,7.4
INT_1060,NLP & Text Analytics,7.4
INT_1060,MLOps Pipelines,7.4
INT_1060,Time Series Analysis,7.4
INT_1060,Business Intelligence & BI Tools,8.5
INT_1061,SQL & Databases,8.5
INT_1061,Cloud Computing (AWS),8.5
INT_1061,Docker & Kubernetes,6.5
INT_1061,System Design,6.5
INT_1061,Statistics & Probability,6.5
INT_1061,NLP & Text Analytics,6.5
INT_1061,Data Wrangling & Pandas,8.5
INT_1061,Git & Version Control,6.5
INT_1062,Python Fundamentals,5.5
INT_1062,SQL & Databases,5.5
INT_1062,Cloud Computing (AWS),5.5
INT_1062,Docker & Kubernetes,5.5
INT_1062,Cybersecurity Essentials,8.5
INT_1062,System Design,5.5
INT_1062,NLP & Text Analytics,8.5
INT_1062,MLOps Pipelines,5.5
INT_1062,A/B Testing & Experimentation,5.5
INT_1062,Git & Version Control,5.5
INT_1062,APIs & Microservices,8.5
INT_1063,SQL & Databases,8.5
INT_1063,Cloud Computing (AWS),7.9
INT_1063,Docker & Kubernetes,8.5
INT_1063,Cybersecurity Essentials,8.5
INT_1064,Python Fundamentals,7.1
INT_1064,Data Visualization,7.1
INT_1064,Docker & Kubernetes,7.1
INT_1064,Frontend Basics (React),8.5
INT_1064,A/B Testing & Experimentation,7.1
INT_1064,Git & Version Control,8.5
INT_1064,APIs & Microservices,8.5
INT_1064,Time Series Analysis,7.1
INT_1065,SQL & Databases,5.6
INT_1065,Data Visualization,5.6
INT_1065,Docker & Kubernetes,8.5
INT_1065,System Design,5.6
INT_1065,Statistics & Probability,8.5
INT_1065,NLP & Text Analytics,8.5
INT_1065,MLOps Pipelines,5.6
INT_1065,A/B Testing & Experimentation,5.6
INT_1065,Data Wrangling & Pandas,5.6
INT_1065,Git & Version Control,5.6
INT_1065,Time Series Analysis,5.6
INT_1066,SQL & Databases,5.7
INT_1066,System Design,8.5
INT_1066,Frontend Basics (React),8.5
INT_1066,MLOps Pipelines,5.7
INT_1066,Git & Version Control,8.5
INT_1067,SQL & Databases,8.5
INT_1067,Cloud Computing (AWS),8.5
INT_1067,Docker & Kubernetes,8.5
INT_1067,MLOps Pipelines,6.6
INT_1068,SQL & Databases,8.5
INT_1068,Deep Learning,8.5
INT_1068,Cybersecurity Essentials,4.5
INT_1068,MLOps Pipelines,8.5
INT_1068,A/B Testing & Experimentation,4.5
INT_1068,Reinforcement Learning,4.5
INT_1069,SQL & Databases,6.3
INT_1069,Docker & Kubernetes,8.5
INT_1069,Cybersecurity Essentials,8.5
INT_1069,System Design,6.3
INT_1069,Frontend Basics (React),6.3
INT_1069,NLP & Text Analytics,6.3
INT_1069,MLOps Pipelines,6.3
INT_1069,Git & Version Control,6.3
INT_1070,Python Fundamentals,8.5
INT_1070,Docker & Kubernetes,4.2
INT_1070,System Design,8.5
INT_1070,Git & Version Control,8.5
INT_1070,APIs & Microservices,4.2
INT_1071,Python Fundamentals,4.8
INT_1071,SQL & Databases,8.5
INT_1071,Data Visualization,4.8
INT_1071,System Design,8.5
INT_1071,Statistics & Probability,8.5
INT_1071,MLOps Pipelines,4.8
INT_1071,A/B Testing & Experimentation,4.8
INT_1071,Time Series Analysis,4.8
INT_1071,Business Intelligence & BI Tools,4.8
INT_1072,Python Fundamentals,6.3
INT_1072,Machine Learning Basics,6.3
INT_1072,Data Visualization,8.5
INT_1072,Git & Version Control,8.5
INT_1072,APIs & Microservices,8.5
INT_1073,SQL & Databases,6.7
INT_1073,Docker & Kubernetes,6.7
INT_1073,Cybersecurity Essentials,6.7
INT_1073,MLOps Pipelines,8.5
INT_1073,Git & Version Control,8.5
INT_1073,APIs & Microservices,8.5
INT_1074,SQL & Databases,8.5
INT_1074,Git & Version Control,8.5
INT_1074,APIs & Microservices,8.5
INT_1075,Python Fundamentals,8.5
INT_1075,SQL & Databases,8.5
INT_1075,Cybersecurity Essentials,6.9
INT_1075,System Design,8.5
INT_1075,Statistics & Probability,6.9
INT_1076,SQL & Databases,6.7
INT_1076,Cloud Computing (AWS),8.5
INT_1076,Docker & Kubernetes,6.7
INT_1076,Cybersecurity Essentials,6.7
INT_1076,System Design,8.5
INT_1076,Git & Version Control,8.5
INT_1077,Python Fundamentals,5.8
INT_1077,SQL & Databases,5.8
INT_1077,Machine Learning Basics,5.8
INT_1077,System Design,5.8
INT_1077,Statistics & Probability,8.5
INT_1077,A/B Testing & Experimentation,8.5
INT_1077,Data Wrangling & Pandas,5.8
INT_1077,Git & Version Control,8.5
INT_1077,Reinforcement Learning,5.8
INT_1078,SQL & Databases,7.1
INT_1078,Cloud Computing (AWS),8.5
INT_1078,System Design,7.1
INT_1078,Frontend Basics (React),7.1
INT_1078,Data Wrangling & Pandas,8.5
INT_1078,APIs & Microservices,8.5
INT_1079,Python Fundamentals,8.5
INT_1079,System Design,4.4
INT_1079,Git & Version Control,8.5
INT_1079,APIs & Microservices,8.5
INT_1080,SQL & Databases,8.5
INT_1080,Statistics & Probability,8.5
INT_1080,A/B Testing & Experimentation,8.5
INT_1081,SQL & Databases,5.2
INT_1081,Cloud Computing (AWS),8.5
INT_1081,Docker & Kubernetes,8.5
INT_1081,MLOps Pipelines,8.5
INT_1081,Business Intelligence & BI Tools,5.2
INT_1082,Python Fundamentals,6.1
INT_1082,SQL & Databases,8.5
INT_1082,Docker & Kubernetes,6.1
INT_1082,Cybersecurity Essentials,8.5
INT_1082,System Design,6.1
INT_1082,Git & Version Control,6.1
INT_1082,APIs & Microservices,8.5
INT_1083,Python Fundamentals,8.5
INT_1083,SQL & Databases,5.8
INT_1083,Data Visualization,5.8
INT_1083,Cybersecurity Essentials,5.8
INT_1083,System Design,5.8
INT_1083,Frontend Basics (React),8.5
INT_1083,Statistics & Probability,5.8
INT_1083,A/B Testing & Experimentation,5.8
INT_1083,Git & Version Control,8.5
INT_1083,Business Intelligence & BI Tools,5.8
INT_1084,Python Fundamentals,5.5
INT_1084,SQL & Databases,5.5
INT_1084,Cloud Computing (AWS),5.5
INT_1084,Docker & Kubernetes,8.5
INT_1084,Cybersecurity Essentials,5.5
INT_1084,System Design,5.5
INT_1084,Statistics & Probability,8.5
INT_1084,Git & Version Control,5.5
INT_1084,APIs & Microservices,5.5
INT_1084,Business Intelligence & BI Tools,8.5
INT_1085,Python Fundamentals,5.5
INT_1085,SQL & Databases,5.5
INT_1085,Data Visualization,8.5
INT_1085,Cloud Computing (AWS),5.5
INT_1085,Docker & Kubernetes,8.5
INT_1085,System Design,5.5
INT_1085,Frontend Basics (React),5.5
INT_1085,Data Wrangling & Pandas,5.5
INT_1085,Git & Version Control,8.5
INT_1085,APIs & Microservices,5.5
INT_1085,Reinforcement Learning,5.5
INT_1086,Machine Learning Basics,8.5
INT_1086,Deep Learning,8.5
INT_1086,Data Visualization,6.7
INT_1086,NLP & Text Analytics,8.5
INT_1086,Data Wrangling & Pandas,6.7
INT_1087,Machine Learning Basics,3.7
INT_1087,Deep Learning,8.5
INT_1087,Data Visualization,8.5
INT_1087,Cybersecurity Essentials,3.7
INT_1087,NLP & Text Analytics,8.5
INT_1088,Python Fundamentals,8.5
INT_1088,SQL & Databases,5.9
INT_1088,Cybersecurity Essentials,5.9
INT_1088,System Design,5.9
INT_1088,MLOps Pipelines,8.5
INT_1088,Git & Version Control,5.9
INT_1088,APIs & Microservices,8.5
INT_1089,Python Fundamentals,7.6
INT_1089,SQL & Databases,7.6
INT_1089,Machine Learning Basics,7.6
INT_1089,Deep Learning,8.5
INT_1089,Docker & Kubernetes,7.6
INT_1089,NLP & Text Analytics,8.5
INT_1089,Reinforcement Learning,8.5
INT_1090,Python Fundamentals,6.8
INT_1090,SQL & Databases,8.5
INT_1090,Data Visualization,6.8
INT_1090,Cloud Computing (AWS),6.8
INT_1090,System Design,6.8
INT_1090,Git & Version Control,6.8
INT_1090,APIs & Microservices,8.5
INT_1090,Time Series Analysis,6.8
INT_1090,Business Intelligence & BI Tools,8.5
INT_1091,Cloud Computing (AWS),6.6
INT_1091,Docker & Kubernetes,6.6
INT_1091,Statistics & Probability,6.6
INT_1091,NLP & Text Analytics,8.5
INT_1091,Data Wrangling & Pandas,8.5
INT_1091,Git & Version Control,6.6
INT_1091,Reinforcement Learning,8.5
INT_1092,Python Fundamentals,5.1
INT_1092,Machine Learning Basics,5.1
INT_1092,Data Visualization,5.1
INT_1092,System Design,8.5
INT_1092,Frontend Basics (React),5.1
INT_1092,Data Wrangling & Pandas,8.5
INT_1092,Git & Version Control,5.1
INT_1092,APIs & Microservices,5.1
INT_1092,Time Series Analysis,8.5
INT_1092,Reinforcement Learning,5.1
INT_1093,Machine Learning Basics,8.5
INT_1093,Deep Learning,8.5
INT_1093,Data Visualization,8.5
INT_1093,APIs & Microservices,5.9
INT_1094,SQL & Databases,8.5
INT_1094,Data Visualization,7.0
INT_1094,Statistics & Probability,7.0
INT_1094,MLOps Pipelines,8.5
INT_1094,Time Series Analysis,7.0
INT_1094,Business Intelligence & BI Tools,8.5
INT_1095,SQL & Databases,5.8
INT_1095,Cloud Computing (AWS),5.8
INT_1095,Docker & Kubernetes,8.5
INT_1095,Cybersecurity Essentials,5.8
INT_1095,Git & Version Control,8.5
INT_1095,APIs & Microservices,8.5
INT_1095,Time Series Analysis,5.8
INT_1096,SQL & Databases,5.4
INT_1096,Cloud Computing (AWS),8.5
INT_1096,Docker & Kubernetes,8.5
INT_1096,Data Wrangling & Pandas,8.5
INT_1097,Python Fundamentals,8.5
INT_1097,Cloud Computing (AWS),6.3
INT_1097,System Design,6.3
INT_1097,Data Wrangling & Pandas,6.3
INT_1097,Git & Version Control,8.5
INT_1097,APIs & Microservices,8.5
INT_1097,Business Intelligence & BI Tools,6.3
INT_1098,Python Fundamentals,8.5
INT_1098,SQL & Databases,7.4
INT_1098,Machine Learning Basics,7.4
INT_1098,Deep Learning,7.4
INT_1098,Cloud Computing (AWS),7.4
INT_1098,System Design,7.4
INT_1098,Frontend Basics (React),7.4
INT_1098,Statistics & Probability,8.5
INT_1098,MLOps Pipelines,7.4
INT_1098,A/B Testing & Experimentation,8.5
INT_1098,Data Wrangling & Pandas,7.4
INT_1099,Python Fundamentals,6.5
INT_1099,SQL & Databases,8.5
INT_1099,Machine Learning Basics,6.5
INT_1099,Cloud Computing (AWS),6.5
INT_1099,Docker & Kubernetes,6.5
INT_1099,Cybersecurity Essentials,6.5
INT_1099,System Design,8.5
INT_1099,Data Wrangling & Pandas,8.5
INT_1099,Git & Version Control,6.5
INT_1099,APIs & Microservices,6.5
INT_1100,SQL & Databases,5.0
INT_1100,Data Visualization,8.5
INT_1100,Cybersecurity Essentials,5.0
INT_1100,Statistics & Probability,8.5
INT_1100,A/B Testing & Experimentation,8.5
INT_1100,Business Intelligence & BI Tools,5.0
INT_1101,Python Fundamentals,5.5
INT_1101,SQL & Databases,8.5
INT_1101,Machine Learning Basics,8.5
INT_1101,Cloud Computing (AWS),5.5
INT_1101,MLOps Pipelines,8.5
INT_1101,A/B Testing & Experimentation,5.5
INT_1101,Reinforcement Learning,5.5
INT_1102,Python Fundamentals,8.5
INT_1102,SQL & Databases,4.7
INT_1102,System Design,8.5
INT_1102,Frontend Basics (React),8.5
INT_1102,Statistics & Probability,4.7
INT_1102,Data Wrangling & Pandas,4.7
INT_1102,APIs & Microservices,4.7
INT_1103,SQL & Databases,8.5
INT_1103,Cloud Computing (AWS),8.5
INT_1103,Docker & Kubernetes,5.2
INT_1103,System Design,5.2
INT_1103,Data Wrangling & Pandas,5.2
INT_1103,APIs & Microservices,8.5
INT_1104,System Design,5.5
INT_1104,Statistics & Probability,8.5
INT_1104,NLP & Text Analytics,5.5
INT_1104,A/B Testing & Experimentation,8.5
INT_1104,Data Wrangling & Pandas,8.5
INT_1105,Python Fundamentals,5.6
INT_1105,Machine Learning Basics,5.6
INT_1105,Cloud Computing (AWS),8.5
INT_1105,Docker & Kubernetes,8.5
INT_1105,System Design,5.6
INT_1105,Frontend Basics (React),5.6
INT_1105,A/B Testing & Experimentation,5.6
INT_1105,Git & Version Control,8.5
INT_1105,APIs & Microservices,5.6
INT_1106,Python Fundamentals,8.5
INT_1106,SQL & Databases,6.5
INT_1106,Docker & Kubernetes,6.5
INT_1106,System Design,8.5
INT_1106,MLOps Pipelines,6.5
INT_1106,Git & Version Control,8.5
INT_1107,Cloud Computing (AWS),8.5
INT_1107,Docker & Kubernetes,8.5
