intern_id,department,education_background,gpa,prior_internships,python_skill_score,math_stat_score,sql_score,ml_knowledge_score,cloud_infra_score,hours_per_week,learning_style,preferred_time,mentor_interaction_pref,primary_device,courses_completed_count,completed_courses,avg_quiz_score_pct,session_completion_rate,engagement_score,dropout_risk,satisfaction_rating,days_since_joining,peers_similar_dept_took,recommended_course_1,recommended_course_2,recommended_course_3
INT_1013,Cloud Infrastructure,Statistics,3.52,0,7.1,4.2,4.0,8.7,3.8,4.2,Peer-learning,Night Owl,Low,Tablet,2,"Cloud Computing (AWS), Git & Version Control",68.2,0.69,5.4,Medium,4.5,105,Python Fundamentals,SQL & Databases,APIs & Microservices,Cybersecurity Essentials
INT_1014,DevOps,Statistics,3.16,1,4.3,7.7,8.9,3.0,0.2,8.6,Reading,Night Owl,Low,Mixed,2,"Cloud Computing (AWS), Docker & Kubernetes",94.9,0.88,7.7,Low,4.2,98,Python Fundamentals,System Design,Python Fundamentals,APIs & Microservices
INT_1015,Backend Dev,Statistics,3.92,1,10.0,3.4,4.6,0.8,0.8,12.0,Mixed,Evening,High,Laptop,3,"MLOps Pipelines, Git & Version Control, APIs & Microservices",73.7,0.79,7.1,Low,5.0,173,Python Fundamentals,SQL & Databases,Python Fundamentals,Data Wrangling & Pandas
INT_1016,Cybersecurity,Information Systems,2.52,2,5.7,7.3,8.4,0.9,8.0,7.5,Mixed,Morning,Low,Desktop,1,Data Visualization,70.9,0.84,6.5,Low,5.0,127,Python Fundamentals,Python Fundamentals,Git & Version Control,System Design
INT_1017,Cybersecurity,Mathematics,2.97,2,6.9,7.8,5.5,6.7,4.8,6.3,Video,Night Owl,Medium,Mixed,7,"Data Visualization, Cloud Computing (AWS), Docker & Kubernetes, Cybersecurity Essentials, System Design, Data Wrangling & Pandas, Git & Version Control",85.9,0.71,6.4,Medium,3.8,97,Python Fundamentals,SQL & Databases,Python Fundamentals,APIs & Microservices
INT_1018,Product Management,Information Systems,3.05,1,4.3,7.9,4.2,6.1,2.9,13.7,Peer-learning,Night Owl,High,Desktop,3,"SQL & Databases, Git & Version Control, Business Intelligence & BI Tools",51.0,0.92,7.1,Low,4.6,88,Data Visualization,Data Visualization,A/B Testing & Experimentation,Statistics & Probability
INT_1019,DevOps,Business Analytics,3.52,0,9.2,7.2,7.9,2.9,3.9,10.6,Mixed,Morning,Medium,Mixed,2,"System Design, Data Wrangling & Pandas",58.7,0.87,6.7,Low,5.0,104,Python Fundamentals,Docker & Kubernetes,Cloud Computing (AWS),Cybersecurity Essentials
INT_1020,Frontend Dev,Statistics,2.53,0,5.1,3.7,1.2,3.8,6.5,10.6,Reading,Evening,High,Laptop,8,"Python Fundamentals, Machine Learning Basics, Data Visualization, Frontend Basics (React), Git & Version Control, APIs & Microservices, Reinforcement Learning, Business Intelligence & BI Tools",83.9,0.68,6.9,Medium,4.7,159,SQL & Databases,Data Wrangling & Pandas,System Design,Cybersecurity Essentials
INT_1021,Software Engineering,Electrical Engineering,3.45,0,5.6,5.1,3.5,1.8,6.7,8.6,Hands-on Projects,No Preference,Medium,Tablet,1,Cloud Computing (AWS),51.1,0.69,5.5,Medium,5.0,114,Python Fundamentals,Frontend Basics (React),Data Wrangling & Pandas,APIs & Microservices
INT_1022,Backend Dev,Information Systems,3.5,2,6.3,9.8,7.0,2.6,1.6,4.0,Hands-on Projects,Morning,Medium,Laptop,0,,64.0,0.86,5.8,Low,5.0,99,Python Fundamentals,Data Wrangling & Pandas,Python Fundamentals,APIs & Microservices
INT_1023,Frontend Dev,Business Analytics,3.96,2,4.0,6.5,7.6,4.5,2.5,8.7,Reading,Night Owl,Low,Laptop,8,"Python Fundamentals, Data Visualization, Cybersecurity Essentials, Frontend Basics (React), NLP & Text Analytics, MLOps Pipelines, Git & Version Control, APIs & Microservices",49.1,0.63,5.2,Medium,3.6,25,SQL & Databases,Machine Learning Basics,A/B Testing & Experimentation,Reinforcement Learning
INT_1024,Product Management,Business Analytics,3.51,0,4.3,10.0,8.0,3.0,5.9,8.7,Reading,Afternoon,Low,Tablet,2,"Data Visualization, Business Intelligence & BI Tools",85.8,0.58,6.3,Medium,5.0,43,SQL & Databases,SQL & Databases,Statistics & Probability,A/B Testing & Experimentation
INT_1025,Frontend Dev,Business Analytics,3.19,1,5.7,8.0,5.6,4.0,5.2,3.0,Mixed,No Preference,Low,Mixed,8,"Machine Learning Basics, Data Visualization, Cloud Computing (AWS), Docker & Kubernetes, Frontend Basics (React), Statistics & Probability, Git & Version Control, APIs & Microservices",66.3,0.67,5.1,Medium,4.0,173,Python Fundamentals,Python Fundamentals,Business Intelligence & BI Tools,System Design
INT_1026,Data Science,Information Systems,3.22,1,4.5,5.0,2.9,2.6,0.5,8.2,Hands-on Projects,Morning,Low,Desktop,0,,71.0,0.58,5.7,Medium,4.9,126,Data Visualization,Data Visualization,Deep Learning,Machine Learning Basics
INT_1027,Data Science,Statistics,3.61,1,4.9,6.4,4.9,6.9,3.6,5.7,Mixed,Night Owl,Medium,Desktop,6,"Python Fundamentals, Machine Learning Basics, Deep Learning, Data Visualization, Statistics & Probability, NLP & Text Analytics",73.6,0.83,6.3,Low,3.6,30,SQL & Databases,Data Wrangling & Pandas,SQL & Databases,Business Intelligence & BI Tools
INT_1028,Software Engineering,Economics,3.89,0,4.1,3.8,8.7,6.2,3.5,8.2,Hands-on Projects,Afternoon,Low,Mixed,8,"Python Fundamentals, Deep Learning, Data Visualization, Cloud Computing (AWS), Docker & Kubernetes, System Design, Frontend Basics (React), APIs & Microservices",90.1,0.72,6.9,Low,5.0,75,SQL & Databases,Data Wrangling & Pandas,Git & Version Control,SQL & Databases
INT_1029,Cloud Infrastructure,Business Analytics,3.53,0,5.4,7.6,5.1,8.5,3.3,10.5,Hands-on Projects,Afternoon,Medium,Laptop,0,,77.0,0.19,4.9,High,3.4,103,Python Fundamentals,System Design,Git & Version Control,Python Fundamentals
INT_1030,Cloud Infrastructure,Computer Science,2.63,0,6.3,6.3,6.6,4.9,5.4,5.8,Video,No Preference,Low,Mixed,3,"Cloud Computing (AWS), MLOps Pipelines, Git & Version Control",71.2,0.76,6.0,Medium,3.6,176,Python Fundamentals,Cybersecurity Essentials,Docker & Kubernetes,Python Fundamentals
INT_1031,Data Engineering,Computer Science,3.33,1,10.0,7.2,4.3,6.0,2.2,7.5,Peer-learning,Night Owl,High,Desktop,4,"Data Visualization, Docker & Kubernetes, Data Wrangling & Pandas, Time Series Analysis",61.2,0.79,6.0,Medium,3.9,55,Python Fundamentals,MLOps Pipelines,SQL & Databases,Business Intelligence & BI Tools
INT_1032,Software Engineering,Mathematics,3.16,0,8.9,5.2,0.1,2.6,0.0,8.1,Mixed,Morning,High,Mixed,7,"SQL & Databases, Machine Learning Basics, Cloud Computing (AWS), System Design, Frontend Basics (React), Data Wrangling & Pandas, APIs & Microservices",79.5,0.87,7.0,Low,5.0,168,Python Fundamentals,Python Fundamentals,Git & Version Control,Docker & Kubernetes
INT_1033,Software Engineering,Statistics,3.9,1,6.7,5.0,5.7,2.0,1.8,9.2,Peer-learning,No Preference,High,Desktop,4,"Python Fundamentals, Docker & Kubernetes, System Design, Data Wrangling & Pandas",86.0,0.57,6.4,Medium,3.9,128,SQL & Databases,SQL & Databases,Git & Version Control,APIs & Microservices
INT_1034,Backend Dev,Computer Science,3.9,0,7.2,9.8,3.0,1.2,0.0,10.0,Video,Evening,Medium,Mixed,7,"SQL & Databases, Docker & Kubernetes, Cybersecurity Essentials, System Design, Data Wrangling & Pandas, Git & Version Control, APIs & Microservices",100.0,0.7,7.4,Low,3.5,162,Python Fundamentals,Python Fundamentals,Cloud Computing (AWS),Data Visualization
INT_1035,ML Engineering,Cognitive Science,2.88,0,5.2,5.2,3.8,2.8,5.5,5.8,Hands-on Projects,No Preference,Medium,Tablet,2,"Docker & Kubernetes, Statistics & Probability",74.7,0.32,4.6,High,5.0,88,Python Fundamentals,Cloud Computing (AWS),System Design,A/B Testing & Experimentation
INT_1036,Backend Dev,Electrical Engineering,3.33,0,5.4,7.6,6.7,3.9,2.6,7.4,Video,Night Owl,High,Mixed,1,Data Wrangling & Pandas,58.2,0.61,5.3,Medium,3.9,76,Python Fundamentals,Python Fundamentals,System Design,APIs & Microservices
INT_1037,Data Engineering,Business Analytics,2.99,0,3.1,6.0,5.2,2.3,3.8,10.0,Reading,Night Owl,Low,Laptop,1,Cloud Computing (AWS),100.0,0.7,7.4,Low,3.5,128,Python Fundamentals,SQL & Databases,Business Intelligence & BI Tools,Time Series Analysis
INT_1038,Frontend Dev,Information Systems,3.38,1,8.6,0.7,0.0,0.9,1.0,8.9,Video,Afternoon,Medium,Mixed,0,,57.1,0.91,6.5,Low,5.0,78,Python Fundamentals,Python Fundamentals,Git & Version Control,Data Visualization
INT_1039,Backend Dev,Information Systems,2.62,1,8.3,2.8,5.6,4.1,0.5,11.0,Video,Night Owl,High,Tablet,3,"SQL & Databases, Docker & Kubernetes, APIs & Microservices",85.5,0.79,7.4,Low,4.7,68,Python Fundamentals,Git & Version Control,System Design,Python Fundamentals
INT_1040,Data Engineering,Bioinformatics,2.6,1,1.8,9.5,1.9,2.0,6.3,10.3,Peer-learning,Evening,Medium,Laptop,3,"SQL & Databases, Git & Version Control, Business Intelligence & BI Tools",91.8,0.93,8.0,Low,4.6,141,Python Fundamentals,Docker & Kubernetes,Cloud Computing (AWS),MLOps Pipelines
INT_1041,Backend Dev,Bioinformatics,2.98,0,5.6,5.9,1.7,8.3,3.7,12.9,Reading,Night Owl,Low,Tablet,4,"Python Fundamentals, SQL & Databases, Statistics & Probability, APIs & Microservices",72.2,0.92,7.7,Low,4.9,179,Cloud Computing (AWS),Data Wrangling & Pandas,System Design,Git & Version Control
INT_1042,Cybersecurity,Bioinformatics,2.94,1,5.2,4.6,9.0,3.9,1.6,5.3,Reading,Morning,Low,Desktop,1,SQL & Databases,62.1,0.83,5.9,Low,5.0,120,Python Fundamentals,APIs & Microservices,Git & Version Control,Python Fundamentals
INT_1043,Cloud Infrastructure,Business Analytics,3.35,0,5.0,8.4,5.3,5.1,4.6,9.6,Hands-on Projects,Evening,Medium,Mixed,2,"Python Fundamentals, System Design",66.3,0.94,7.1,Low,5.0,167,SQL & Databases,SQL & Databases,MLOps Pipelines,APIs & Microservices
INT_1044,Cybersecurity,Statistics,3.61,0,6.4,1.8,4.0,2.5,0.0,12.8,Reading,Afternoon,High,Mixed,0,,63.7,0.67,6.5,Medium,3.7,30,Python Fundamentals,Git & Version Control,APIs & Microservices,Python Fundamentals
INT_1045,Cloud Infrastructure,Statistics,3.54,0,5.8,7.2,5.2,1.3,4.3,9.7,Video,Morning,Medium,Laptop,8,"Python Fundamentals, Deep Learning, Cloud Computing (AWS), System Design, Frontend Basics (React), MLOps Pipelines, Git & Version Control, APIs & Microservices",76.9,0.87,7.2,Low,5.0,159,SQL & Databases,SQL & Databases,Docker & Kubernetes,Cybersecurity Essentials
INT_1046,Software Engineering,Computer Science,2.96,2,6.6,10.0,5.6,1.5,6.5,16.2,Video,Afternoon,High,Laptop,3,"Docker & Kubernetes, Statistics & Probability, Git & Version Control",86.7,0.59,7.5,Medium,4.6,29,Python Fundamentals,SQL & Databases,Cloud Computing (AWS),Data Wrangling & Pandas
INT_1047,Product Management,Information Systems,2.83,0,7.7,5.6,2.3,0.0,2.6,15.8,Peer-learning,Night Owl,High,Desktop,3,"SQL & Databases, Data Visualization, A/B Testing & Experimentation",65.2,0.8,7.5,Low,3.3,81,Statistics & Probability,Statistics & Probability,Business Intelligence & BI Tools,Time Series Analysis
INT_1048,DevOps,Bioinformatics,2.92,0,3.5,7.3,8.5,5.2,3.0,7.2,Hands-on Projects,Night Owl,Medium,Tablet,1,SQL & Databases,79.6,0.94,7.2,Low,4.5,65,Python Fundamentals,MLOps Pipelines,APIs & Microservices,System Design
INT_1049,Software Engineering,Computer Science,3.1,2,6.5,4.7,3.7,6.2,3.2,9.4,Reading,Morning,Low,Desktop,0,,47.0,0.77,5.8,Medium,3.9,95,Python Fundamentals,Git & Version Control,APIs & Microservices,Data Wrangling & Pandas
INT_1050,Data Science,Computer Science,3.38,2,4.1,4.3,5.9,3.0,4.8,3.5,Hands-on Projects,No Preference,High,Laptop,8,"SQL & Databases, Machine Learning Basics, Deep Learning, Docker & Kubernetes, Statistics & Probability, NLP & Text Analytics, Git & Version Control, Time Series Analysis",59.4,0.63,4.8,Medium,3.8,50,Data Visualization,Data Visualization,Business Intelligence & BI Tools,A/B Testing & Experimentation
INT_1051,DevOps,Statistics,3.44,3,7.8,3.9,0.0,2.8,6.0,12.0,Mixed,Evening,High,Tablet,7,"Python Fundamentals, SQL & Databases, Cloud Computing (AWS), Docker & Kubernetes, Cybersecurity Essentials, A/B Testing & Experimentation, APIs & Microservices",63.0,0.51,5.8,Medium,5.0,151,System Design,Git & Version Control,System Design,MLOps Pipelines
INT_1052,Data Science,Information Systems,2.99,1,5.3,4.9,6.3,7.9,4.2,6.2,Video,No Preference,High,Desktop,2,"Data Visualization, A/B Testing & Experimentation",64.9,0.8,6.0,Medium,4.4,76,Deep Learning,Deep Learning,Machine Learning Basics,Data Wrangling & Pandas
INT_1053,Cybersecurity,Economics,3.05,0,2.9,5.2,6.6,5.7,4.6,10.3,Peer-learning,Afternoon,Low,Desktop,3,"Python Fundamentals, Docker & Kubernetes, Git & Version Control",94.8,0.87,7.9,Low,5.0,71,SQL & Databases,Cybersecurity Essentials,Cloud Computing (AWS),SQL & Databases
INT_1054,Frontend Dev,Physics,3.63,3,5.4,7.4,4.7,7.2,3.7,6.5,Mixed,Morning,High,Laptop,4,"Data Visualization, Cybersecurity Essentials, Data Wrangling & Pandas, Reinforcement Learning",74.0,0.54,5.5,Medium,4.3,14,Python Fundamentals,APIs & Microservices,Frontend Basics (React),Python Fundamentals
INT_1055,Product Management,Physics,3.58,1,8.1,4.1,3.0,5.6,4.3,4.5,Mixed,Afternoon,Medium,Desktop,7,"SQL & Databases, Deep Learning, System Design, Statistics & Probability, A/B Testing & Experimentation, Reinforcement Learning, Business Intelligence & BI Tools",61.3,0.91,6.0,Low,4.5,22,Data Visualization,Data Visualization,MLOps Pipelines,Machine Learning Basics
INT_1056,ML Engineering,Statistics,3.64,0,4.5,5.9,1.5,4.7,2.1,6.0,Reading,No Preference,Medium,Mixed,5,"Python Fundamentals, Cloud Computing (AWS), MLOps Pipelines, Data Wrangling & Pandas, Git & Version Control",61.7,0.94,6.3,Low,2.3,101,SQL & Databases,A/B Testing & Experimentation,Statistics & Probability,Reinforcement Learning
INT_1057,Data Engineering,Statistics,3.04,1,5.9,6.1,1.4,4.3,6.0,11.1,Hands-on Projects,No Preference,High,Mixed,5,"Deep Learning, Data Visualization, MLOps Pipelines, Data Wrangling & Pandas, APIs & Microservices",83.1,0.81,7.4,Low,4.6,136,Python Fundamentals,Git & Version Control,System Design,Time Series Analysis
INT_1058,Frontend Dev,Computer Science,3.66,0,5.2,6.1,3.3,6.8,4.3,9.9,Reading,Afternoon,High,Tablet,2,"Python Fundamentals, SQL & Databases",86.4,0.87,7.6,Low,4.5,27,Data Visualization,Data Visualization,Git & Version Control,APIs & Microservices
INT_1059,Software Engineering,Cognitive Science,3.07,0,4.1,5.0,4.1,5.1,4.6,7.9,Reading,Night Owl,Medium,Laptop,2,"Machine Learning Basics, Docker & Kubernetes",52.2,0.79,5.8,Medium,4.6,110,Python Fundamentals,Cloud Computing (AWS),Git & Version Control,System Design
INT_1060,Product Management,Mathematics,3.71,1,5.4,6.7,4.6,6.1,4.3,10.6,Reading,Night Owl,Medium,Desktop,4,"System Design, NLP & Text Analytics, MLOps Pipelines, Time Series Analysis",100.0,0.67,7.4,Low,3.6,144,SQL & Databases,Data Visualization,Business Intelligence & BI Tools,SQL & Databases
INT_1061,ML Engineering,Physics,3.5,0,2.5,9.0,8.0,2.4,4.3,8.8,Peer-learning,Night Owl,Medium,Desktop,5,"Docker & Kubernetes, System Design, Statistics & Probability, NLP & Text Analytics, Git & Version Control",67.6,0.79,6.5,Low,5.0,83,Python Fundamentals,Cloud Computing (AWS),SQL & Databases,Data Wrangling & Pandas
INT_1062,Cloud Infrastructure,Computer Science,3.26,2,3.4,8.1,7.2,4.3,3.5,3.1,Video,Morning,Low,Desktop,8,"Python Fundamentals, SQL & Databases, Cloud Computing (AWS), Docker & Kubernetes, System Design, MLOps Pipelines, A/B Testing & Experimentation, Git & Version Control",63.8,0.79,5.5,Medium,4.5,169,Cybersecurity Essentials,Cybersecurity Essentials,APIs & Microservices,NLP & Text Analytics
INT_1063,DevOps,Computer Science,2.81,0,7.4,6.3,7.3,3.3,3.6,9.9,Video,No Preference,Low,Mixed,1,Cloud Computing (AWS),95.6,0.87,7.9,Low,4.2,42,Python Fundamentals,SQL & Databases,Cybersecurity Essentials,Docker & Kubernetes
INT_1064,Frontend Dev,Information Systems,3.46,0,5.2,8.2,0.0,10.0,1.7,5.2,Peer-learning,Afternoon,Medium,Mixed,5,"Python Fundamentals, Data Visualization, Docker & Kubernetes, A/B Testing & Experimentation, Time Series Analysis",94.8,0.86,7.1,Low,4.8,60,Frontend Basics (React),APIs & Microservices,Frontend Basics (React),Git & Version Control
INT_1065,ML Engineering,Electrical Engineering,2.87,1,4.4,5.1,5.0,4.5,4.4,10.0,Mixed,Evening,High,Laptop,8,"SQL & Databases, Data Visualization, System Design, MLOps Pipelines, A/B Testing & Experimentation, Data Wrangling & Pandas, Git & Version Control, Time Series Analysis",82.1,0.36,5.6,Medium,4.0,36,Python Fundamentals,Statistics & Probability,Docker & Kubernetes,NLP & Text Analytics
INT_1066,Software Engineering,Computer Science,2.64,1,9.8,5.5,5.1,1.9,0.8,5.3,Reading,Morning,Medium,Laptop,2,"SQL & Databases, MLOps Pipelines",49.5,0.9,5.7,Low,4.2,98,Python Fundamentals,Frontend Basics (React),Git & Version Control,System Design
INT_1067,DevOps,Computer Science,2.84,0,10.0,6.1,7.4,3.9,3.5,3.4,Mixed,No Preference,Medium,Desktop,1,MLOps Pipelines,77.5,0.97,6.6,Low,4.7,34,Python Fundamentals,SQL & Databases,Cloud Computing (AWS),Docker & Kubernetes
INT_1068,ML Engineering,Computer Science,3.19,3,7.7,6.6,5.0,4.6,1.9,2.9,Video,No Preference,Medium,Laptop,3,"Cybersecurity Essentials, A/B Testing & Experimentation, Reinforcement Learning",59.4,0.58,4.5,Medium,4.1,20,Python Fundamentals,SQL & Databases,MLOps Pipelines,Deep Learning
INT_1069,DevOps,Physics,3.36,3,8.4,4.1,6.1,8.6,4.0,5.2,Reading,Morning,Low,Tablet,6,"SQL & Databases, System Design, Frontend Basics (React), NLP & Text Analytics, MLOps Pipelines, Git & Version Control",74.6,0.84,6.3,Low,4.3,134,Python Fundamentals,MLOps Pipelines,Cybersecurity Essentials,Docker & Kubernetes
INT_1070,Backend Dev,Computer Science,3.8,1,3.7,4.6,3.1,7.1,2.9,6.0,Mixed,Afternoon,High,Laptop,2,"Docker & Kubernetes, APIs & Microservices",50.7,0.45,4.2,High,3.0,50,Python Fundamentals,Python Fundamentals,Git & Version Control,System Design
INT_1071,Product Management,Statistics,3.88,1,6.4,8.4,8.5,0.8,4.1,2.9,Peer-learning,Afternoon,Low,Laptop,6,"Python Fundamentals, Data Visualization, MLOps Pipelines, A/B Testing & Experimentation, Time Series Analysis, Business Intelligence & BI Tools",47.9,0.76,4.8,Medium,2.5,122,SQL & Databases,Statistics & Probability,SQL & Databases,System Design
INT_1072,Frontend Dev,Bioinformatics,3.31,0,3.1,4.6,3.5,3.5,1.9,6.1,Hands-on Projects,No Preference,Medium,Laptop,2,"Python Fundamentals, Machine Learning Basics",79.7,0.75,6.3,Medium,3.0,48,Data Visualization,Data Visualization,Git & Version Control,APIs & Microservices
INT_1073,DevOps,Mathematics,2.9,2,3.4,5.5,8.8,5.2,2.1,9.9,Hands-on Projects,Evening,Low,Mixed,3,"SQL & Databases, Docker & Kubernetes, Cybersecurity Essentials",86.4,0.62,6.7,Medium,3.3,128,Python Fundamentals,MLOps Pipelines,Git & Version Control,APIs & Microservices
INT_1074,Cybersecurity,Statistics,3.39,0,6.5,7.6,5.0,7.7,1.9,6.4,Peer-learning,Afternoon,High,Desktop,0,,81.4,0.67,6.2,Medium,3.7,118,Python Fundamentals,SQL & Databases,APIs & Microservices,Git & Version Control
INT_1075,Cybersecurity,Electrical Engineering,3.46,0,2.9,2.3,6.0,1.2,0.0,15.5,Reading,Morning,Low,Mixed,2,"Cybersecurity Essentials, Statistics & Probability",69.1,0.61,6.9,Medium,4.2,147,Python Fundamentals,SQL & Databases,Python Fundamentals,System Design
INT_1076,Cybersecurity,Cognitive Science,3.35,2,4.7,5.1,3.5,6.5,5.0,5.8,Mixed,Morning,Low,Laptop,3,"SQL & Databases, Docker & Kubernetes, Cybersecurity Essentials",72.2,0.95,6.7,Low,3.8,38,Python Fundamentals,Cloud Computing (AWS),Git & Version Control,System Design
INT_1077,ML Engineering,Bioinformatics,3.56,0,5.1,5.8,4.6,3.0,4.1,8.4,Video,Afternoon,High,Tablet,6,"Python Fundamentals, SQL & Databases, Machine Learning Basics, System Design, Data Wrangling & Pandas, Reinforcement Learning",68.7,0.6,5.8,Medium,4.0,69,Deep Learning,Statistics & Probability,A/B Testing & Experimentation,Git & Version Control
INT_1078,Software Engineering,Computer Science,2.93,1,4.7,2.5,3.2,6.5,4.7,12.6,Video,No Preference,Medium,Mixed,3,"SQL & Databases, System Design, Frontend Basics (React)",58.2,0.9,7.1,Low,4.2,20,Python Fundamentals,APIs & Microservices,Cloud Computing (AWS),Data Wrangling & Pandas
INT_1079,Cybersecurity,Electrical Engineering,3.21,1,7.7,2.1,10.0,3.0,1.1,4.9,Hands-on Projects,Evening,Medium,Laptop,1,System Design,46.5,0.57,4.4,Medium,4.9,95,Python Fundamentals,APIs & Microservices,Git & Version Control,Python Fundamentals
INT_1080,ML Engineering,Business Analytics,3.12,0,2.4,4.5,4.8,9.5,2.1,10.2,Reading,Night Owl,Medium,Laptop,0,,72.5,0.42,5.5,Medium,5.0,73,Python Fundamentals,SQL & Databases,Statistics & Probability,A/B Testing & Experimentation
INT_1081,Cloud Infrastructure,Cognitive Science,3.54,0,3.0,5.6,3.9,3.8,3.8,9.5,Mixed,Night Owl,Medium,Laptop,2,"SQL & Databases, Business Intelligence & BI Tools",66.3,0.42,5.2,Medium,4.9,100,Python Fundamentals,Docker & Kubernetes,MLOps Pipelines,Cloud Computing (AWS)
INT_1082,Cybersecurity,Business Analytics,3.82,0,5.0,6.2,5.3,2.9,1.8,5.1,Video,Night Owl,High,Mixed,4,"Python Fundamentals, Docker & Kubernetes, System Design, Git & Version Control",75.5,0.78,6.1,Medium,4.2,94,SQL & Databases,SQL & Databases,APIs & Microservices,Cybersecurity Essentials
